genres,original_language,popularity,budget,revenue,runtime,vote_average,vote_count
Drama,en,35.291,25000,77278.331,117,6.6,3405
Comedy,en,35.274,40000,169837.01,110,5.5,2860
Drama,en,35.268,30000,5472.914,229,8.445,4579
Comedy,en,35.221,52000,75450.437,112,6.121,2436
Drama,en,35.087,45000,20350.754,131,5.529,1091
Drama,en,35.056,30000,82394.288,100,6.02,3989
Comedy,en,34.93,37000,165335.153,115,6.939,4403
Drama,en,34.823,140000,456758.981,154,7.563,6025
Comedy,en,34.773,14000,82468.705,108,8.059,8213
Drama,en,34.701,100000,266465.037,157,7.6,4717
Comedy,en,34.552,4500,81198.894,97,6.646,2273
Drama,en,34.527,90000,291465,151,8.164,13185
Drama,en,34.489,15000,59389.433,107,7.4,3756
Drama,en,34.409,50000,161451.538,110,5.7,2008
Drama,en,34.31,15000,123726.688,123,7.864,9799
Comedy,en,34.231,100000,71.476,136,5.6,381
Drama,en,34.122,10000,4300,99,7.3,174
Drama,en,34.105,58000,50365.377,125,6.5,531
Comedy,en,34.099,50000,144146.816,100,5.7,2054
Comedy,en,33.958,16000,92823.546,96,7.4,3748
Drama,en,33.908,10000,78966.486,94,7.3,7974
Comedy,en,33.741,3500,83453.539,88,7.292,4132
Drama,en,33.711,1000,1574.623,69,5.713,423
Comedy,en,33.652,110000,253890.701,115,5.956,4255
Comedy,en,33.498,29000,287506.194,115,6.878,4949
Drama,en,33.485,15000,36869.414,108,7.57,11925
Drama,en,33.38,17000,270000,99,6.869,3601
Comedy,en,33.272,65000,211780.824,95,6.347,4824
Drama,en,33.115,57000,152944.66,144,7.445,5106
Comedy,en,33.102,52000,609841.637,108,6.958,5740
Comedy,en,33.018,25000,50671.85,89,6,1626
Comedy,en,33.017,17000,59490,103,7.4,1803
Comedy,en,32.978,1000,51525.171,98,7.8,7654
Comedy,en,32.812,3000,1882.074,102,5.5,1150
Drama,en,32.777,19000,50020.902,136,7.136,4135
Drama,en,32.691,10000,1600,112,8,1721
Drama,en,32.575,2500,12300,106,5.852,392
Comedy,en,32.524,16000,66468.332,89,5.779,1818
Drama,en,32.454,35000,5250.783,158,7.2,768
Drama,en,32.214,60000,313542.341,135,7.852,9101
Comedy,en,32.203,80000,31245.81,134,6.1,1109
Comedy,en,32.18,40000,86234.523,114,6.9,4279
Drama,en,32.073,20000,14946.15,96,6.5,589
Comedy,en,32.073,35000,108758.521,92,5.8,4035
Drama,en,31.978,4000,402352.579,238,8,3691
Drama,en,31.97,125000,362600,138,5.659,5955
Drama,en,31.893,20000,305937.718,113,8.164,7177
Comedy,en,31.885,90000,204313.4,113,5.678,3257
Comedy,en,31.874,15000,107217.396,86,6.6,5471
Drama,en,31.81,31000,161772.375,138,6.805,5376
Comedy,en,31.752,45000,302710.615,86,6.6,4900
Drama,en,31.715,68000,96976.27,131,7.4,3088
Drama,en,31.645,25000,10589.102,122,6.121,951
Comedy,en,31.512,6000,103082.38,139,7.568,4163
Drama,en,31.434,130000,218122.627,144,6.9,3566
Comedy,en,31.413,630,2700,96,7.4,579
Comedy,en,31.412,63000,296938.801,93,5.995,2791
Drama,en,31.374,15000,146300,154,7.7,1575
Drama,en,31.302,100000,206071.502,105,7.163,6010
Drama,en,31.278,32000,61404.394,109,6.8,2620
Drama,en,31.268,3000,67790.117,120,7.8,417
Drama,en,31.242,20000,41627.431,115,6.7,2042
Drama,en,31.143,4000,72000,94,7.969,9179
Drama,en,31.137,100000,171720.398,143,7.524,6706
Comedy,en,31.09,56000,198636.868,95,6.042,2691
Comedy,en,31.075,65000,128107.642,98,6.6,2698
Comedy,en,31.061,60000,129181.83,94,6.2,1912
Comedy,en,30.907,27000,71319.546,97,7.217,1976
Drama,en,30.8,4000,56666.667,108,7.6,755
Comedy,en,30.755,26000,160846.332,97,6.4,3288
Comedy,en,30.752,40000,108332.743,104,6.439,2396
Comedy,en,30.737,42000,107670.357,108,6.2,3724
Drama,en,30.485,878,10462.5,102,8.169,4794
Comedy,en,30.358,50000,62788.218,116,7.098,6951
Comedy,en,30.303,100000,170432.927,107,6.3,3632
Drama,en,30.253,3500,40423.945,92,6.906,6063
Comedy,en,30.252,50000,142851.197,118,7.258,7380
Comedy,fr,30.187,10000,173921.954,122,7.903,10335
Comedy,en,30.14,82500,240685.326,107,6.256,6226
Comedy,en,30.121,70000,223241.637,104,6.65,6078
Drama,en,30.115,2000,9250,154,7.373,1725
Comedy,fr,30.109,10000,3767.399,96,6.36,232
Comedy,en,30.086,40000,262500,108,6.3,2610
Comedy,en,29.952,30000,85897.593,84,4,1443
Comedy,en,29.922,23000,86930.411,85,6.785,2022
Drama,en,29.868,30000,216763.646,132,7.962,8481
Comedy,en,29.821,21000,97409.779,94,6.2,2159
Comedy,en,29.706,5600,29950,138,6.8,148
Comedy,en,29.645,18000,270665.134,97,6.2,6386
Comedy,en,29.57,15000,47010.48,117,7.839,10582
Drama,en,29.563,110000,303144.152,116,6.9,11974
Comedy,en,29.558,25000,281900,97,6.7,4760
Drama,en,29.558,15000,49230.772,131,7.254,4944
Drama,en,29.383,10000,44902.237,90,6,1679
Comedy,en,29.322,51000,47231.07,93,5.483,523
Comedy,en,29.185,75000,195745.823,106,6.1,2708
Drama,en,29.152,30000,136700,113,7.6,2483
Comedy,en,29.105,40000,141069.86,114,6.148,2555
Drama,en,29.046,79000,173013.509,154,6.932,1532
Drama,en,29.04,17000,29789,113,6,796
Comedy,en,29.034,25000,20796.847,93,6.6,2328
Comedy,en,28.969,20000,167722.31,92,6.3,3025
Drama,en,28.957,50000,109423.648,129,7.556,5615
Comedy,en,28.952,25000,123276.807,109,6.3,1636
Drama,en,28.933,25000,77208.711,158,8.088,6063
Drama,en,28.889,22000,67800.064,138,6.9,257
Drama,en,28.82,32000,60740.827,96,7.168,2945
Drama,en,28.782,100000,235926.552,146,7.042,5737
Comedy,en,28.728,35000,194564.672,121,7.196,5929
Drama,en,28.71,1800,9523.464,95,8.1,5100
Drama,en,28.686,30000,196114.57,104,7.22,3611
Comedy,en,28.648,17000,65535.067,88,5.9,1172
Drama,en,28.546,4500,7011.317,105,7.158,752
Comedy,en,28.542,60000,164433.867,92,5.9,1858
Drama,en,28.53,14500,147298.761,120,6.795,4763
Comedy,en,28.486,100000,290745.055,146,6.1,1469
Drama,en,28.443,175000,150962.475,119,6.148,3389
Comedy,en,28.412,60000,255743.093,115,7.203,4159
Comedy,en,28.372,12000,56631.572,97,7.3,3799
Drama,en,28.34,75000,153235.995,158,6.6,2508
Comedy,en,28.283,40000,178866.158,129,6.5,3467
Drama,en,28.261,30000,95714.875,109,7.354,1874
Comedy,en,28.232,8000,75026.327,93,6.8,6265
Drama,en,28.226,12000,14394.097,123,7,161
Comedy,en,28.148,28000,60780.981,90,6.201,4163
Drama,en,28.132,23000,43984.23,163,7.63,1401
Comedy,en,28.108,10000,221.805,99,6.6,490
Drama,en,28.093,31000,134095.253,156,7.748,2796
